21	-1
61	-1
3	-2
-1	-2
5	-3
-2	-3
2	-4
-3	-4
42	-5
48	-5
63	-6
-5	-6
26	-7
34	-7
30	-8
37	-8
28	-9
33	-9
52	-10
-4	-10
67	-11
70	-11
51	-12
54	-12
6	-13
60	-13
32	-14
56	-14
15	-15
39	-15
74	-16
-9	-16
53	-17
-6	-17
13	-18
71	-18
11	-19
-10	-19
23	-20
-7	-20
43	-21
-18	-21
40	-22
-19	-22
22	-23
47	-23
-13	-24
-20	-24
10	-25
-16	-25
19	-26
36	-26
24	-27
31	-27
17	-28
57	-28
16	-29
-26	-29
-21	-30
-25	-30
44	-31
62	-31
25	-32
55	-32
1	-33
-24	-33
29	-34
41	-34
66	-35
-8	-35
-17	-36
-32	-36
27	-37
49	-37
20	-38
59	-38
-15	-39
-29	-39
35	-40
-30	-40
68	-41
-23	-41
18	-42
-33	-42
12	-43
-27	-43
-12	-44
-28	-44
46	-45
-31	-45
45	-46
-34	-46
58	-47
-39	-47
-36	-48
-45	-48
-35	-49
-37	-49
72	-50
-38	-50
14	-51
-40	-51
73	-52
-51	-52
8	-53
-47	-53
69	-54
-44	-54
-22	-55
-42	-55
-49	-56
-53	-56
-41	-57
-52	-57
-46	-58
-57	-58
4	-59
-48	-59
-54	-60
-58	-60
-14	-61
-50	-61
-43	-62
-59	-62
-11	-63
-62	-63
7	-64
-56	-64
64	-65
-55	-65
9	-66
-64	-66
38	-67
-60	-67
-66	-68
-67	-68
65	-69
-65	-69
-61	-70
-63	-70
50	-71
-68	-71
-70	-72
-71	-72
-69	-73
-72	-73
